video_id,title,channel,views,likes,link
vczr0WuYK9g,Calisthenics for Beginners | In Depth Step-by-Step Guide to Building Strength and Muscle,Leo Wang,5788563,319957,https://www.youtube.com/watch?v=vczr0WuYK9g
1mlN0yuxoLE,"Calisthenics for Complete Beginners (Tips, Exercise Form, Programming)",yvguo,5649133,330468,https://www.youtube.com/watch?v=1mlN0yuxoLE
lo792RZ245Y,5 Calisthenics Skills Beginners Can Learn at Home (No Equipment),Ashton Fitness,5462218,240040,https://www.youtube.com/watch?v=lo792RZ245Y
geUKI-2uWaY,BEGINNER CALISTHENICS WORKOUT,Meli,4174828,198246,https://www.youtube.com/watch?v=geUKI-2uWaY
BeGUXwZmATQ,All Planche Progressions from 0 to Full,Vitaly Pavlenko,3303915,118208,https://www.youtube.com/watch?v=BeGUXwZmATQ
WhLialqwJDM,Skills that are easier than they look #calisthenics,Wan Aesthenix,3280219,215055,https://www.youtube.com/watch?v=WhLialqwJDM
TKYZTbyQQHY,Top 10 Rules of Calisthenics (FOLLOW OR FAIL),FitnessFAQs,3259004,96252,https://www.youtube.com/watch?v=TKYZTbyQQHY
kdB-UJg3s-Q,First what you should learn in Calisthenics | Crow Pose,Andry Strong,3205272,0,https://www.youtube.com/watch?v=kdB-UJg3s-Q
_iYvlSMgUGE,HOW TO MUSCLE UP - THE BEST WAY,CHRIS HERIA,2738875,80064,https://www.youtube.com/watch?v=_iYvlSMgUGE
OmKfROtB45Q,How To Full Planche | 10 Steps,CHRIS HERIA,2706028,93036,https://www.youtube.com/watch?v=OmKfROtB45Q
